"Atom number","Rang","Delta P"
"22","1","0.526"
"36","2","0.375"
"39","3","0.358"
"35","4","0.204"
"1","5","0.196"
"28","6","0.165"
"2","7","0.156"
"3","8","0.153"
"24","9","0.148"
"19","10","0.131"
"43","11","0.131"
"30","12","0.123"
"4","13","0.079"
"10","14","0.054"
"48","15","0.054"
"7","16","0.029"
"32","17","0.029"
"34","18","0.026"
"18","19","0.019"
"44","20","0.019"
"11","21","0.007"
"47","22","0.007"
"12","23","-0.044"
"9","24","-0.048"
"20","25","-0.059"
"50","26","-0.059"
"13","27","-0.061"
"16","28","-0.061"
"25","29","-0.066"
"14","30","-0.079"
"15","31","-0.079"
"45","32","-0.079"
"46","33","-0.079"
"17","34","-0.090"
"37","35","-0.095"
"31","36","-0.096"
"49","37","-0.106"
"40","38","-0.125"
"41","39","-0.125"
"6","40","-0.163"
"29","41","-0.168"
"38","42","-0.171"
"33","43","-0.173"
"23","44","-0.221"
"27","45","-0.224"
"26","46","-0.251"
"21","47","-0.252"
"8","48","-0.266"
"42","49","-0.313"
"5","50","-0.376"
