"Atom number","Rang","Delta P"
"1","1","0.695"
"26","2","0.449"
"29","3","0.156"
"4","4","0.104"
"28","5","0.059"
"21","6","0.053"
"15","7","-0.006"
"5","8","-0.085"
"14","9","-0.139"
"6","10","-0.163"
"16","11","-0.195"
"11","12","-0.196"
"25","13","-0.216"
"24","14","-0.255"
"22","15","-0.292"
"10","16","-0.301"
"12","17","-0.311"
"18","18","-0.346"
"9","19","-0.355"
"13","20","-0.400"
"17","21","-0.400"
"19","22","-0.437"
"20","23","-0.464"
"27","24","-0.505"
"23","25","-0.544"
"3","26","-0.563"
"8","27","-0.566"
"7","28","-0.702"
"2","29","-0.771"
