"Atom number","Rang","Delta P"
"21","1","0.101"
"22","2","-0.097"
"14","3","-0.176"
"17","4","-0.176"
"23","5","-0.205"
"13","6","-0.239"
"18","7","-0.239"
"20","8","-0.244"
"8","9","-0.280"
"3","10","-0.338"
"28","11","-0.346"
"29","12","-0.346"
"4","13","-0.474"
"9","14","-0.545"
"27","15","-0.547"
"15","16","-0.598"
"1","17","-0.623"
"6","18","-0.631"
"2","19","-0.632"
"16","20","-0.635"
"12","21","-0.647"
"7","22","-0.669"
"11","23","-0.788"
"24","24","-0.789"
"19","25","-0.811"
"10","26","-0.831"
"25","27","-0.837"
"5","28","-0.838"
"30","29","-0.895"
"26","30","-0.914"
