"Atom number","Rang","Delta P"
"21","1","0.326"
"2","2","0.121"
"27","3","0.059"
"26","4","0.031"
"29","5","-0.029"
"33","6","-0.029"
"13","7","-0.053"
"38","8","-0.053"
"14","9","-0.079"
"37","10","-0.079"
"6","11","-0.083"
"34","12","-0.098"
"5","13","-0.149"
"35","14","-0.185"
"23","15","-0.191"
"30","16","-0.194"
"32","17","-0.194"
"1","18","-0.199"
"3","19","-0.199"
"4","20","-0.199"
"17","21","-0.220"
"20","22","-0.285"
"15","23","-0.304"
"28","24","-0.307"
"19","25","-0.313"
"7","26","-0.318"
"39","27","-0.323"
"40","28","-0.332"
"16","29","-0.333"
"24","30","-0.340"
"36","31","-0.346"
"18","32","-0.361"
"9","33","-0.363"
"22","34","-0.391"
"11","35","-0.425"
"12","36","-0.455"
"31","37","-0.456"
"10","38","-0.461"
"8","39","-0.497"
"25","40","-0.726"
