"Atom number","Rang","Delta P"
"11","1","0.645"
"19","2","0.638"
"4","3","0.471"
"26","4","0.449"
"8","5","0.442"
"12","6","0.106"
"10","7","0.024"
"13","8","-0.061"
"23","9","-0.061"
"9","10","-0.064"
"1","11","-0.087"
"3","12","-0.087"
"14","13","-0.172"
"22","14","-0.172"
"6","15","-0.269"
"15","16","-0.317"
"25","17","-0.321"
"16","18","-0.336"
"18","19","-0.342"
"20","20","-0.342"
"17","21","-0.447"
"21","22","-0.447"
"5","23","-0.464"
"2","24","-0.484"
"24","25","-0.531"
"7","26","-0.572"
"27","27","-0.606"
