"Atom number","Rang","Delta P"
"1","1","0.468"
"18","2","0.468"
"9","3","0.459"
"12","4","0.359"
"30","5","0.174"
"26","6","0.114"
"15","7","0.034"
"24","8","-0.044"
"14","9","-0.073"
"29","10","-0.077"
"4","11","-0.097"
"21","12","-0.131"
"27","13","-0.194"
"16","14","-0.342"
"23","15","-0.363"
"13","16","-0.386"
"5","17","-0.399"
"20","18","-0.411"
"19","19","-0.427"
"10","20","-0.449"
"25","21","-0.497"
"3","22","-0.514"
"22","23","-0.518"
"7","24","-0.520"
"6","25","-0.555"
"28","26","-0.601"
"8","27","-0.630"
"17","28","-0.634"
"2","29","-0.699"
"11","30","-0.700"
