"Atom number","Rang","Delta P"
"20","1","0.376"
"22","2","0.376"
"6","3","-0.128"
"27","4","-0.128"
"5","5","-0.219"
"28","6","-0.219"
"15","7","-0.220"
"25","8","-0.220"
"9","9","-0.312"
"19","10","-0.417"
"23","11","-0.417"
"16","12","-0.425"
"24","13","-0.425"
"2","14","-0.469"
"14","15","-0.475"
"17","16","-0.499"
"10","17","-0.526"
"21","18","-0.553"
"1","19","-0.561"
"4","20","-0.574"
"7","21","-0.623"
"18","22","-0.646"
"3","23","-0.712"
"11","24","-0.724"
"8","25","-0.750"
"13","26","-0.844"
"26","27","-0.870"
"12","28","-0.877"
