"Atom number","Rang","Delta P"
"15","1","0.972"
"5","2","0.469"
"21","3","0.093"
"1","4","-0.034"
"24","5","-0.209"
"10","6","-0.252"
"22","7","-0.316"
"20","8","-0.349"
"11","9","-0.353"
"7","10","-0.377"
"8","11","-0.377"
"9","12","-0.377"
"6","13","-0.396"
"16","14","-0.467"
"12","15","-0.609"
"23","16","-0.635"
"3","17","-0.646"
"19","18","-0.679"
"18","19","-0.709"
"25","20","-0.732"
"14","21","-0.772"
"17","22","-0.791"
"4","23","-0.807"
"2","24","-0.829"
"13","25","-0.852"
"26","26","-0.852"
