"Atom number","Rang","Delta P"
"21","1","0.154"
"6","2","0.085"
"22","3","0.060"
"8","4","0.042"
"14","5","0.016"
"17","6","0.016"
"13","7","0.004"
"18","8","0.004"
"20","9","-0.020"
"23","10","-0.032"
"3","11","-0.043"
"4","12","-0.120"
"28","13","-0.132"
"29","14","-0.132"
"9","15","-0.230"
"27","16","-0.260"
"7","17","-0.261"
"2","18","-0.357"
"15","19","-0.377"
"25","20","-0.386"
"1","21","-0.403"
"16","22","-0.436"
"12","23","-0.461"
"30","24","-0.529"
"10","25","-0.532"
"5","26","-0.586"
"24","27","-0.619"
"19","28","-0.703"
"11","29","-0.722"
"26","30","-0.812"
