"Atom number","Rang","Delta P"
"10","1","0.605"
"14","2","0.605"
"1","3","0.543"
"8","4","0.464"
"6","5","0.456"
"9","6","0.345"
"11","7","0.269"
"13","8","0.269"
"22","9","0.046"
"32","10","-0.023"
"15","11","-0.059"
"33","12","-0.073"
"28","13","-0.146"
"7","14","-0.156"
"26","15","-0.158"
"29","16","-0.158"
"27","17","-0.192"
"24","18","-0.210"
"19","19","-0.242"
"16","20","-0.257"
"23","21","-0.261"
"34","22","-0.271"
"12","23","-0.299"
"25","24","-0.302"
"30","25","-0.302"
"20","26","-0.313"
"17","27","-0.317"
"35","28","-0.339"
"21","29","-0.344"
"4","30","-0.354"
"31","31","-0.380"
"18","32","-0.383"
"3","33","-0.400"
"2","34","-0.508"
"5","35","-0.607"
