"Atom number","Rang","Delta P"
"19","1","0.327"
"22","2","0.108"
"6","3","0.099"
"28","4","0.099"
"5","5","0.014"
"29","6","0.014"
"20","7","0.002"
"9","8","-0.054"
"23","9","-0.071"
"17","10","-0.079"
"10","11","-0.101"
"15","12","-0.117"
"26","13","-0.117"
"16","14","-0.168"
"25","15","-0.168"
"13","16","-0.235"
"11","17","-0.258"
"24","18","-0.265"
"27","19","-0.270"
"18","20","-0.309"
"14","21","-0.310"
"4","22","-0.323"
"7","23","-0.338"
"21","24","-0.346"
"1","25","-0.362"
"8","26","-0.380"
"3","27","-0.385"
"2","28","-0.403"
"12","29","-0.654"
