"Atom number","Rang","Delta P"
"19","1","0.239"
"29","2","0.149"
"8","3","-0.042"
"28","4","-0.047"
"18","5","-0.053"
"22","6","-0.053"
"2","7","-0.073"
"14","8","-0.109"
"1","9","-0.127"
"6","10","-0.143"
"27","11","-0.156"
"26","12","-0.162"
"16","13","-0.182"
"10","14","-0.183"
"15","15","-0.193"
"4","16","-0.204"
"25","17","-0.206"
"30","18","-0.206"
"9","19","-0.212"
"17","20","-0.216"
"13","21","-0.220"
"7","22","-0.235"
"23","23","-0.239"
"24","24","-0.241"
"31","25","-0.241"
"3","26","-0.249"
"11","27","-0.252"
"20","28","-0.261"
"12","29","-0.305"
"5","30","-0.308"
"21","31","-0.403"
