"Atom number","Rang","Delta P"
"1","1","0.466"
"13","2","0.289"
"6","3","0.032"
"15","4","-0.083"
"18","5","-0.238"
"22","6","-0.238"
"17","7","-0.269"
"24","8","-0.297"
"31","9","-0.297"
"16","10","-0.359"
"4","11","-0.360"
"25","12","-0.389"
"30","13","-0.389"
"14","14","-0.421"
"23","15","-0.432"
"10","16","-0.439"
"9","17","-0.462"
"21","18","-0.498"
"27","19","-0.518"
"5","20","-0.587"
"20","21","-0.588"
"28","22","-0.594"
"26","23","-0.603"
"7","24","-0.652"
"29","25","-0.698"
"12","26","-0.706"
"3","27","-0.714"
"2","28","-0.732"
"8","29","-0.743"
"11","30","-0.754"
"19","31","-0.801"
