"Atom number","Rang","Delta P"
"11","1","0.467"
"12","2","0.405"
"9","3","0.394"
"17","4","0.144"
"21","5","0.144"
"14","6","0.055"
"15","7","0.046"
"16","8","0.046"
"18","9","0.046"
"19","10","0.046"
"20","11","0.046"
"22","12","0.046"
"23","13","0.046"
"24","14","0.046"
"25","15","0.046"
"8","16","0.013"
"7","17","-0.063"
"13","18","-0.146"
"10","19","-0.414"
"26","20","-0.497"
"1","21","-0.615"
"29","22","-0.644"
"5","23","-0.658"
"27","24","-0.764"
"28","25","-0.812"
"4","26","-0.834"
"2","27","-0.889"
"6","28","-0.949"
"3","29","-0.974"
