"Atom number","Rang","Delta P"
"2","1","0.233"
"23","2","0.182"
"25","3","0.182"
"3","4","0.116"
"9","5","0.109"
"30","6","0.109"
"22","7","0.036"
"26","8","0.036"
"8","9","-0.061"
"31","10","-0.061"
"18","11","-0.072"
"28","12","-0.072"
"19","13","-0.116"
"27","14","-0.116"
"12","15","-0.155"
"5","16","-0.188"
"1","17","-0.206"
"20","18","-0.252"
"13","19","-0.265"
"14","20","-0.292"
"21","21","-0.311"
"17","22","-0.369"
"7","23","-0.373"
"24","24","-0.391"
"6","25","-0.400"
"4","26","-0.449"
"29","27","-0.479"
"10","28","-0.487"
"11","29","-0.570"
"16","30","-0.701"
"15","31","-0.765"
