"Atom number","Rang","Delta P"
"1","1","0.415"
"37","2","0.113"
"26","3","-0.064"
"43","4","-0.100"
"30","5","-0.165"
"33","6","-0.165"
"36","7","-0.165"
"39","8","-0.165"
"42","9","-0.165"
"29","10","-0.229"
"21","11","-0.298"
"25","12","-0.312"
"5","13","-0.313"
"15","14","-0.314"
"4","15","-0.329"
"28","16","-0.365"
"14","17","-0.414"
"10","18","-0.417"
"44","19","-0.444"
"31","20","-0.447"
"6","21","-0.448"
"38","22","-0.452"
"41","23","-0.462"
"35","24","-0.470"
"32","25","-0.494"
"23","26","-0.497"
"34","27","-0.501"
"20","28","-0.511"
"13","29","-0.554"
"17","30","-0.554"
"22","31","-0.556"
"12","32","-0.562"
"16","33","-0.562"
"40","34","-0.610"
"24","35","-0.614"
"27","36","-0.628"
"9","37","-0.676"
"2","38","-0.692"
"11","39","-0.699"
"19","40","-0.708"
"18","41","-0.718"
"3","42","-0.728"
"8","43","-0.852"
"7","44","-0.868"
