"Atom number","Rang","Delta P"
"15","1","0.943"
"5","2","0.092"
"25","3","-0.026"
"28","4","-0.026"
"33","5","-0.026"
"36","6","-0.026"
"39","7","-0.026"
"35","8","-0.028"
"1","9","-0.049"
"32","10","-0.101"
"21","11","-0.129"
"29","12","-0.155"
"38","13","-0.180"
"26","14","-0.247"
"24","15","-0.261"
"30","16","-0.299"
"10","17","-0.305"
"27","18","-0.317"
"22","19","-0.323"
"23","20","-0.340"
"7","21","-0.380"
"8","22","-0.380"
"9","23","-0.380"
"20","24","-0.398"
"40","25","-0.413"
"34","26","-0.417"
"37","27","-0.417"
"41","28","-0.424"
"31","29","-0.434"
"6","30","-0.435"
"16","31","-0.442"
"11","32","-0.478"
"12","33","-0.518"
"3","34","-0.608"
"18","35","-0.639"
"2","36","-0.659"
"19","37","-0.684"
"14","38","-0.700"
"4","39","-0.734"
"13","40","-0.753"
"43","41","-0.760"
"42","42","-0.779"
"17","43","-0.814"
