"Atom number","Rang","Delta P"
"13","1","0.836"
"3","2","-0.110"
"7","3","-0.110"
"9","4","-0.110"
"12","5","-0.110"
"16","6","-0.110"
"23","7","-0.110"
"10","8","-0.366"
"14","9","-0.430"
"1","10","-0.586"
"25","11","-0.609"
"11","12","-0.692"
"19","13","-0.728"
"8","14","-0.779"
"5","15","-0.800"
"4","16","-0.815"
"17","17","-0.850"
"21","18","-0.864"
"26","19","-0.875"
"20","20","-0.877"
"15","21","-0.908"
"2","22","-0.919"
"6","23","-0.943"
"18","24","-0.957"
"24","25","-0.977"
"22","26","-0.979"
