"Atom number","Rang","Delta P"
"19","1","0.681"
"11","2","0.572"
"4","3","0.328"
"8","4","0.193"
"14","5","0.125"
"22","6","0.125"
"12","7","0.051"
"26","8","0.044"
"10","9","-0.064"
"9","10","-0.116"
"13","11","-0.158"
"23","12","-0.158"
"1","13","-0.208"
"3","14","-0.208"
"18","15","-0.262"
"20","16","-0.262"
"16","17","-0.378"
"25","18","-0.382"
"15","19","-0.390"
"6","20","-0.411"
"17","21","-0.456"
"21","22","-0.456"
"24","23","-0.523"
"2","24","-0.531"
"5","25","-0.574"
"7","26","-0.626"
"27","27","-0.668"
