"Atom number","Rang","Delta P"
"30","1","0.090"
"7","2","0.051"
"10","3","0.008"
"2","4","0.007"
"6","5","-0.043"
"21","6","-0.043"
"23","7","-0.056"
"9","8","-0.074"
"16","9","-0.122"
"8","10","-0.127"
"19","11","-0.133"
"1","12","-0.134"
"5","13","-0.148"
"11","14","-0.164"
"4","15","-0.172"
"15","16","-0.180"
"3","17","-0.181"
"27","18","-0.212"
"26","19","-0.217"
"28","20","-0.254"
"14","21","-0.256"
"12","22","-0.263"
"18","23","-0.263"
"22","24","-0.270"
"20","25","-0.277"
"24","26","-0.286"
"25","27","-0.319"
"29","28","-0.328"
"13","29","-0.366"
"17","30","-0.366"
