"Atom number","Rang","Delta P"
"10","1","-0.002"
"12","2","-0.004"
"21","3","-0.011"
"14","4","-0.018"
"18","5","-0.056"
"23","6","-0.070"
"9","7","-0.081"
"5","8","-0.092"
"4","9","-0.129"
"27","10","-0.132"
"28","11","-0.132"
"29","12","-0.132"
"13","13","-0.149"
"26","14","-0.174"
"24","15","-0.180"
"17","16","-0.197"
"1","17","-0.209"
"20","18","-0.211"
"32","19","-0.217"
"31","20","-0.224"
"11","21","-0.235"
"15","22","-0.236"
"16","23","-0.239"
"6","24","-0.254"
"30","25","-0.258"
"22","26","-0.270"
"7","27","-0.294"
"25","28","-0.306"
"33","29","-0.320"
"3","30","-0.349"
"2","31","-0.357"
"19","32","-0.380"
"8","33","-0.417"
