"Atom number","Rang","Delta P"
"20","1","0.419"
"1","2","0.350"
"10","3","0.350"
"26","4","0.049"
"24","5","-0.078"
"19","6","-0.131"
"25","7","-0.138"
"12","8","-0.219"
"15","9","-0.219"
"18","10","-0.219"
"17","11","-0.233"
"21","12","-0.237"
"22","13","-0.237"
"23","14","-0.266"
"4","15","-0.276"
"14","16","-0.446"
"7","17","-0.517"
"11","18","-0.608"
"3","19","-0.687"
"13","20","-0.700"
"5","21","-0.712"
"8","22","-0.773"
"2","23","-0.880"
"9","24","-0.880"
"16","25","-0.888"
"6","26","-0.892"
