"Atom number","Rang","Delta P"
"14","1","0.569"
"28","2","0.371"
"27","3","-0.033"
"11","4","-0.058"
"13","5","-0.058"
"19","6","-0.058"
"7","7","-0.078"
"17","8","-0.109"
"1","9","-0.250"
"23","10","-0.254"
"24","11","-0.275"
"22","12","-0.293"
"26","13","-0.310"
"3","14","-0.345"
"4","15","-0.361"
"25","16","-0.376"
"6","17","-0.399"
"21","18","-0.401"
"2","19","-0.424"
"8","20","-0.469"
"20","21","-0.522"
"5","22","-0.533"
"9","23","-0.537"
"16","24","-0.564"
"15","25","-0.588"
"12","26","-0.742"
"18","27","-0.852"
"10","28","-0.887"
