"Atom number","Rang","Delta P"
"8","1","0.332"
"3","2","-0.002"
"11","3","-0.006"
"14","4","-0.020"
"16","5","-0.044"
"27","6","-0.047"
"23","7","-0.061"
"28","8","-0.098"
"29","9","-0.098"
"24","10","-0.113"
"1","11","-0.131"
"7","12","-0.150"
"9","13","-0.154"
"2","14","-0.159"
"17","15","-0.163"
"12","16","-0.166"
"5","17","-0.168"
"6","18","-0.168"
"26","19","-0.175"
"10","20","-0.198"
"21","21","-0.198"
"13","22","-0.211"
"4","23","-0.220"
"20","24","-0.221"
"22","25","-0.238"
"30","26","-0.247"
"19","27","-0.266"
"25","28","-0.278"
"18","29","-0.389"
"15","30","-0.465"
