"Atom number","Rang","Delta P"
"2","1","0.406"
"1","2","0.301"
"13","3","0.288"
"5","4","0.233"
"4","5","0.188"
"3","6","0.174"
"21","7","0.173"
"22","8","0.157"
"6","9","0.153"
"16","10","0.140"
"23","11","0.121"
"7","12","0.098"
"12","13","0.098"
"14","14","0.098"
"20","15","0.098"
"11","16","0.089"
"24","17","0.076"
"9","18","0.059"
"10","19","0.027"
"25","20","-0.055"
"19","21","-0.094"
"17","22","-0.172"
"18","23","-0.276"
"26","24","-0.296"
"27","25","-0.401"
"15","26","-0.539"
"8","27","-0.570"
"28","28","-0.722"
"29","29","-0.845"
