"Atom number","Rang","Delta P"
"23","1","0.281"
"6","2","0.152"
"10","3","0.152"
"22","4","0.104"
"28","5","0.012"
"33","6","0.012"
"21","7","-0.004"
"17","8","-0.015"
"18","9","-0.015"
"24","10","-0.024"
"19","11","-0.045"
"29","12","-0.046"
"32","13","-0.046"
"9","14","-0.113"
"16","15","-0.252"
"13","16","-0.289"
"31","17","-0.307"
"30","18","-0.313"
"1","19","-0.364"
"5","20","-0.366"
"2","21","-0.370"
"7","22","-0.389"
"11","23","-0.393"
"27","24","-0.400"
"12","25","-0.418"
"8","26","-0.454"
"26","27","-0.490"
"14","28","-0.511"
"4","29","-0.520"
"3","30","-0.523"
"20","31","-0.599"
"15","32","-0.605"
"25","33","-0.615"
