"Atom number","Rang","Delta P"
"12","1","0.311"
"10","2","0.209"
"27","3","0.114"
"29","4","0.038"
"23","5","-0.004"
"6","6","-0.015"
"8","7","-0.015"
"14","8","-0.015"
"21","9","-0.015"
"13","10","-0.252"
"3","11","-0.262"
"16","12","-0.326"
"19","13","-0.326"
"1","14","-0.350"
"28","15","-0.356"
"26","16","-0.385"
"4","17","-0.405"
"17","18","-0.448"
"9","19","-0.455"
"25","20","-0.504"
"22","21","-0.539"
"30","22","-0.546"
"7","23","-0.721"
"2","24","-0.795"
"11","25","-0.815"
"18","26","-0.830"
"24","27","-0.831"
"15","28","-0.868"
"20","29","-0.876"
"5","30","-0.880"
