"Atom number","Rang","Delta P"
"24","1","0.620"
"29","2","0.534"
"1","3","0.413"
"17","4","0.387"
"19","5","0.363"
"23","6","0.030"
"34","7","-0.024"
"20","8","-0.196"
"22","9","-0.203"
"25","10","-0.203"
"18","11","-0.210"
"21","12","-0.242"
"26","13","-0.242"
"9","14","-0.267"
"30","15","-0.269"
"3","16","-0.339"
"10","17","-0.353"
"5","18","-0.375"
"33","19","-0.401"
"32","20","-0.405"
"11","21","-0.422"
"4","22","-0.438"
"14","23","-0.451"
"12","24","-0.465"
"15","25","-0.501"
"7","26","-0.508"
"36","27","-0.515"
"6","28","-0.558"
"13","29","-0.570"
"27","30","-0.581"
"31","31","-0.596"
"8","32","-0.618"
"28","33","-0.624"
"35","34","-0.666"
"2","35","-0.682"
"16","36","-0.705"
