"Atom number","Rang","Delta P"
"15","1","0.438"
"24","2","-0.021"
"11","3","-0.032"
"10","4","-0.076"
"27","5","-0.081"
"17","6","-0.098"
"3","7","-0.117"
"4","8","-0.117"
"1","9","-0.147"
"13","10","-0.177"
"26","11","-0.179"
"28","12","-0.189"
"21","13","-0.191"
"6","14","-0.192"
"16","15","-0.200"
"12","16","-0.211"
"7","17","-0.212"
"2","18","-0.213"
"14","19","-0.217"
"9","20","-0.243"
"8","21","-0.245"
"25","22","-0.245"
"23","23","-0.267"
"5","24","-0.274"
"22","25","-0.294"
"20","26","-0.322"
"18","27","-0.391"
"19","28","-0.437"
