"Atom number","Rang","Delta P"
"15","1","0.976"
"5","2","0.281"
"21","3","0.058"
"1","4","-0.155"
"24","5","-0.197"
"20","6","-0.226"
"7","7","-0.309"
"8","8","-0.309"
"9","9","-0.309"
"10","10","-0.323"
"6","11","-0.330"
"22","12","-0.398"
"16","13","-0.445"
"11","14","-0.450"
"12","15","-0.459"
"3","16","-0.571"
"14","17","-0.576"
"18","18","-0.615"
"19","19","-0.636"
"25","20","-0.656"
"23","21","-0.664"
"2","22","-0.674"
"4","23","-0.680"
"17","24","-0.739"
"26","25","-0.761"
"13","26","-0.809"
