"Atom number","Rang","Delta P"
"21","1","0.139"
"30","2","0.042"
"26","3","0.007"
"10","4","-0.022"
"13","5","-0.034"
"28","6","-0.034"
"2","7","-0.077"
"6","8","-0.077"
"27","9","-0.123"
"29","10","-0.124"
"9","11","-0.128"
"24","12","-0.140"
"25","13","-0.142"
"1","14","-0.152"
"7","15","-0.152"
"17","16","-0.169"
"4","17","-0.172"
"8","18","-0.174"
"33","19","-0.174"
"11","20","-0.199"
"32","21","-0.201"
"3","22","-0.212"
"5","23","-0.212"
"18","24","-0.217"
"22","25","-0.224"
"23","26","-0.238"
"15","27","-0.263"
"16","28","-0.263"
"12","29","-0.304"
"31","30","-0.315"
"19","31","-0.370"
"20","32","-0.454"
"14","33","-0.466"
