SMILES,SMILES
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3
CCC(=C(c1ccccc1)c1ccc(OCCN(C)CO)cc1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCC[N+](C)(C)[O-])cc1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCCNC)cc1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCC[N+](C)(C)C2OC(C(=O)O)C(O)C(O)C2O)cc1)c1ccccc1,
CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,
CCC(=C(c1ccc(OCCN(C)C)cc1)c1ccc(O)c(OC)c1)c1ccccc1,
CCC(=C(c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccc(O)cc1,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccc(O)c(OC)c1,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1cccc(O)c1,
CCC(=C(c1ccccc1)c1ccc(OCCO)cc1)c1ccccc1,
CNC,
CCC(=C(c1ccccc1)c1ccc(OCC=O)cc1)c1ccccc1,
C=[N+](C)CCOc1ccc(C(=C(CC)c2ccccc2)c2ccccc2)cc1,
C=CC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,
CN(C)CCOc1ccc(C(=C(CC(=O)O)c2ccccc2)c2ccccc2)cc1,
CC(O)C(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,
CN(C)CCOc1ccc(C(=C(CCO)c2ccccc2)c2ccccc2)cc1,
CCC(=C(c1ccccc1)c1ccc(OCC=[N+](C)C)cc1)c1ccccc1,
CCC1(c2ccccc2)OC1(c1ccccc1)c1ccc(OCCN(C)C)cc1,
CC=C(c1ccccc1)C(O)(c1ccccc1)c1ccc(OCCN(C)C)cc1,
CCC(=C(c1ccccc1)c1ccc(OCC(O)N(C)C)cc1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1O,
CCC(=C(c1ccccc1)c1ccc(OC(O)CN(C)C)cc1)c1ccccc1,
CN(C)CC=O,
CN(C)CCO,
CCC(=C(c1ccccc1)c1ccc(O)cc1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)c(O)c1)c1ccccc1,
CCC(=C(c1ccccc1)c1ccc(OC=CN(C)C)cc1)c1ccccc1,
CCC(=C(c1ccc(OCCN(C)C)cc1)c1ccccc1O)c1ccccc1,
CCC(=C(c1ccccc1)C1(O)C=CC(=O)C=C1)c1ccccc1,
CCN(C)C,
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1O)c1ccccc1,
