SMILES,SMILES
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NOC5OC(C(=O)O)C(O)C(O)C5O)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,
C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(=O)C(=O)O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(=O)CO)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC45OC4C(=NO)CCC5C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)C(O)CC4C3CCC21CC,
C#CC1(OC(C)=O)C(O)CC2C3CCC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CC(O)C4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC(=O)O,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21C(C)O,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CCO,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4(O)C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CC(O)C4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3C(O)CC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=NO)C4O)C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CC=C4C(O)C(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3C=CC4=CC(=NO)CCC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21C=C,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)C=CC4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CC=C4C3CCC21CC,
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3(O)CCC21CC,
C#CC1(OC(C)=O)CC(O)C2C3CCC4=CC(=NO)CCC4C3CCC21CC,
